TCGA.2W.A8YY.01,TCGA.4J.AA1J.01,TCGA.BI.A0VR.01,TCGA.BI.A0VS.01,TCGA.BI.A20A.01,TCGA.C5.A0TN.01,TCGA.C5.A1BE.01,TCGA.C5.A1BF.01,TCGA.C5.A1BI.01,TCGA.C5.A1BJ.01,TCGA.C5.A1BK.01,TCGA.C5.A1BL.01,TCGA.C5.A1BM.01
-0.01170979,0.271219719,-0.23092878,-0.768700366,0.381514273,1.228247623,0.226690862,0.285605965,0.034874245,0.005416693,-0.110358336,0.091734171,0.115711248
-1.105907771,-0.951554446,-0.039744321,0.384546612,0.198760284,0.517610303,0.127621563,0.403667487,1.500894833,0.82694784,0.065665246,-0.15902278,0.502457634
1.978139217,-2.58946771,0.306825444,-0.172340703,0.747392096,-2.38049803,0.431053704,2.240349581,0.362284489,-0.729593185,0.322797649,-1.304148889,0.464772804
0.36155782,0.793038124,-0.287202983,-0.3193241,1.008418186,-0.056551167,-0.890339261,0.577505298,-0.988200053,-0.466163903,-0.517088193,-0.392317444,-0.392371438
-0.884542655,-0.694636881,0.630287127,0.605866959,0.803046826,-0.171421792,-0.795175232,-0.690740045,-0.229094955,-0.130634916,0.421676543,0.213845326,0.256190936
-0.734463155,0.508347705,0.00567832,-1.222550396,0.730938448,0.861940403,-0.717794377,0.683176379,-0.126401164,0.602608734,0.335585923,-1.120578728,0.482935027
-1.115803594,-0.893946452,0.653894073,0.625365248,0.855720338,-0.282701194,-1.011400233,-0.88939398,-0.350077781,-0.235051985,0.410185065,0.167386551,0.216856748
-0.208293408,0.761739008,0.165290639,-0.018627236,0.632103652,0.528734208,0.583968073,0.782206012,0.435706058,0.617349812,0.33946981,-0.192214809,0.461465871
-0.215618371,0.033189825,0.596357608,-0.043366543,0.437981622,-2.991743668,0.126492899,0.26285893,-0.051979134,-0.047194361,-0.10413316,0.033668303,1.799249542
1.092868927,-1.272639679,-0.031837307,-0.235747227,0.845940241,-0.523790007,-0.309601389,1.598930986,0.83692766,0.834044267,1.067004658,-0.392601297,-0.248688055
-0.215618371,0.033189825,0.596357608,-0.043366543,0.437981622,-2.991743668,0.126492899,0.26285893,-0.051979134,-0.047194361,-0.10413316,0.033668303,1.799249542
-1.155461629,-0.572144788,-0.271386595,0.146456584,0.863865407,0.227661309,-0.081086594,0.947550908,0.113447879,0.371998719,0.114413826,-0.940992095,-0.064424207
-1.46992301,-2.491918963,0.382966916,-0.800702766,-1.081179437,-1.509523991,0.658357222,0.67870268,0.534831227,0.564986103,0.488690635,0.529018239,0.627112412
-0.624761088,1.615003051,-0.29989513,-0.362758537,1.215161259,-0.609984703,-0.416913132,-0.521547303,-0.1934842,-0.367847875,1.99140372,2.900116065,-0.341984234
-0.011071839,0.151619509,-0.053088224,-0.410227489,-0.741961499,0.776979645,0.245912092,0.28304285,0.049021361,0.356327241,0.034364483,0.092014871,0.106671749
-0.766452083,0.323755881,0.66756311,0.80792984,0.711288336,1.065808196,0.398563055,0.922638882,0.558435016,0.573722028,0.125467861,-0.555265444,0.721600783
-0.003318153,0.741974107,0.610125383,-0.81291558,0.317282428,0.754002412,0.275183362,0.659626483,0.107712351,0.118352775,0.061912268,0.119278029,0.163690231
-1.523159363,-1.425006549,0.224677236,1.421528558,1.417292106,1.226425661,1.120653522,4.772134184,1.988746158,1.999849298,1.163849664,0.253924711,1.876444155
-0.374212607,-0.145989719,-0.484034147,0.262981119,1.170152797,0.837828242,-0.091650936,-0.020152538,-0.23521972,-0.307862093,-0.374212607,-0.203760425,-0.198040553
-0.678277401,-2.895078434,-0.392915021,0.580727109,0.458221082,0.075699017,0.472859039,-0.183915134,-0.290173668,0.233757189,1.147851197,-0.059220196,0.333784408
0.268776925,1.847100648,0.004054796,-0.491565774,0.477241287,2.388279654,-1.148021431,-1.647783677,0.341601396,1.270372255,0.299494356,0.296042959,0.426505755
-0.211033024,-2.445011575,-0.21953669,-0.175105862,0.024571715,-0.456876008,-1.191507507,-0.548379381,1.342082515,-0.794902272,0.519867786,-0.047459056,0.0347978
0.650817458,0.839528205,-0.00707322,-0.6209891,-1.074933668,-1.501523834,-0.93192901,-1.370638215,-0.21898327,0.652548749,-0.556585065,0.563560378,0.768545263
0.400840959,-1.449947307,0.362586035,1.938689994,1.137971043,1.650310255,0.231030254,1.087052213,0.851812021,0.275125512,0.533931842,-0.898734393,0.794996369
-0.171058477,-2.86392628,-0.159090176,-0.435186507,1.024946258,0.451293193,0.029926446,0.130212557,-0.030740461,-0.121534471,-0.101312169,-0.10667727,-0.016295959
-1.378011865,-0.612993602,-0.287444377,0.017321561,2.20827865,0.552973515,0.109980552,0.47712461,0.4644496,0.231501758,0.643510304,-0.658245289,0.46238853
-0.668134808,-0.141849315,-0.204632773,2.493791801,-2.677626811,-0.056733487,0.893445684,-0.364751658,-0.591446289,-0.128786985,-0.658864767,0.557617392,-0.57922669
-1.664938191,-2.512298192,0.632185845,-0.143603434,1.025173282,0.533667767,0.67439021,0.373595107,1.801672532,-0.286282864,1.211530854,-1.354766246,-0.829831427
-0.552784995,-0.251858321,-0.60138688,1.954667271,-0.206091546,0.179483411,-0.282639516,-0.39928404,-0.405359276,-0.374983098,-0.284664594,-0.294789987,0.676032672
1.32870517,-1.097484613,-0.375967458,0.738415983,-0.067482934,-1.594271497,0.575517152,0.154709548,-0.4688035,-1.344004481,0.052396463,-0.252794235,-1.305781848
