ap,p,t,B,lfc
0.996,0.004043,3.7077566,-3.79,0.81620032
0.996,0.004092,3.7005113,-3.79,0.87024894
0.996,0.004106,-3.6984685,-3.79,-0.65775716
0.996,0.004129,-3.6950072,-3.79,-0.75538868
0.996,0.004142,3.6931955,-3.79,0.66771832
0.996,0.004149,-3.6922113,-3.79,-0.7471343
0.996,0.004165,3.6897877,-3.79,0.5903322
0.996,0.004201,3.684671,-3.79,0.6266357
0.996,0.004229,-3.6805616,-3.79,-0.8946952
0.996,0.004243,-3.6785947,-3.79,-0.38372724
0.996,0.004274,3.6742042,-3.8,0.60376794
0.996,0.004275,-3.6741026,-3.8,-0.9448551
0.996,0.00431,3.6690503,-3.8,0.81803756
0.996,0.004312,-3.668859,-3.8,-0.60630712
0.996,0.004435,3.651889,-3.8,1.1125802
0.996,0.004438,-3.6514636,-3.8,-0.62652872
0.996,0.004456,3.6489521,-3.8,0.82145404
0.996,0.004499,3.6432421,-3.8,0.7037056
0.996,0.004544,3.6372218,-3.8,0.8215055
0.996,0.004551,3.6362575,-3.81,0.39211108
0.996,0.004566,3.6343485,-3.81,0.6273171
0.996,0.004604,-3.6292472,-3.81,-0.68137602
0.996,0.004618,3.6274689,-3.81,0.63214372
0.996,0.004658,-3.6222498,-3.81,-2.85526542
0.996,0.004681,3.6193332,-3.81,0.9817162
0.996,0.004686,-3.6185966,-3.81,-1.1936387
0.996,0.004758,-3.6094472,-3.81,-0.73957556
0.996,0.004807,-3.6033224,-3.81,-1.5781932
0.996,0.004812,3.602731,-3.81,0.5206301
0.996,0.004833,3.6000094,-3.81,0.494098
0.996,0.004834,-3.5999715,-3.81,-0.7998668
0.996,0.004848,3.5981521,-3.81,0.61850892
0.996,0.004886,3.5935155,-3.82,1.21386478
0.996,0.004902,-3.591532,-3.82,-0.5584366
0.996,0.00491,3.5905535,-3.82,0.64523016
0.996,0.004911,3.59042,-3.82,0.48603564
0.996,0.004918,3.589544,-3.82,1.13747452
0.996,0.004936,-3.5873173,-3.82,-0.97194908
0.996,0.004966,3.5837413,-3.82,1.3150079
0.996,0.004971,3.583133,-3.82,0.43308078
0.996,0.005014,3.5779621,-3.82,0.41384706
0.996,0.005016,-3.577682,-3.82,-0.64709182
0.996,0.005018,3.5775277,-3.82,0.52154978
0.996,0.005038,-3.5751337,-3.82,-0.5744837
0.996,0.005054,3.5731616,-3.82,0.31224798
0.996,0.005061,3.5723101,-3.82,0.78191788
0.996,0.005063,3.5720876,-3.82,0.6375881
0.996,0.005099,3.5678058,-3.82,0.4573538
0.996,0.005123,3.5650783,-3.82,0.57926828
0.996,0.005232,-3.5524121,-3.83,-0.36990772
0.996,0.005238,-3.5517208,-3.83,-0.8339307
0.996,0.00525,3.5502862,-3.83,0.8404966
0.996,0.005271,3.5479053,-3.83,0.8041949
0.996,0.005303,3.5442783,-3.83,1.03445854
0.996,0.005324,3.5419432,-3.83,0.5406177
0.996,0.00538,-3.53567,-3.83,-0.96297398
0.996,0.005392,3.534322,-3.83,0.63345928
0.996,0.005393,-3.5342714,-3.83,-0.44834484
0.996,0.005397,3.5337616,-3.83,0.64092674
0.996,0.00541,-3.5323843,-3.83,-1.16146022
0.996,0.005411,3.5322083,-3.83,0.48516576
0.996,0.00545,3.5278836,-3.83,0.4772056
0.996,0.005475,-3.5251868,-3.83,-0.6264546
0.996,0.005486,-3.5240352,-3.83,-0.88202604
0.996,0.00549,3.5236044,-3.83,1.10280906
0.996,0.005546,-3.5174785,-3.84,-0.54272698
0.996,0.005709,-3.5001152,-3.84,-1.58432164
0.996,0.005716,3.4994249,-3.84,0.62768146
0.996,0.005779,-3.4928529,-3.84,-0.78593322
0.996,0.005798,3.4908763,-3.84,0.64470652
0.996,0.005872,3.483356,-3.84,0.55645394
0.996,0.005881,-3.4823933,-3.84,-1.00527934
0.996,0.005899,-3.480542,-3.84,-0.5823516
0.996,0.005921,3.4783349,-3.85,0.68279794
0.996,0.005962,-3.4742886,-3.85,-1.5809889
0.996,0.005984,3.4720682,-3.85,0.53916312
0.996,0.006003,3.4701641,-3.85,2.62584186
0.996,0.006023,3.4682016,-3.85,0.52371556
0.996,0.006058,-3.4646926,-3.85,-1.1952254
0.996,0.006074,-3.4631178,-3.85,-0.43103006
0.996,0.0061,3.4606027,-3.85,0.42447816
0.996,0.006114,3.4591939,-3.85,0.7276649
0.996,0.006124,3.4582715,-3.85,0.4005943
0.996,0.006131,3.4575675,-3.85,0.44147072
0.996,0.006137,-3.457021,-3.85,-1.49939604
0.996,0.006148,3.455941,-3.85,0.5516686
0.996,0.006185,-3.4522883,-3.85,-0.82318398
0.996,0.006189,3.4518983,-3.85,0.79466376
0.996,0.006199,-3.4509704,-3.85,-0.64403462
0.996,0.006278,-3.4434188,-3.85,-1.19600242
0.996,0.00628,-3.4432775,-3.85,-1.56142094
0.996,0.006309,3.4405262,-3.85,0.3985809
0.996,0.006352,3.4364465,-3.86,0.56047888
0.996,0.006363,-3.4354564,-3.86,-0.84315186
0.996,0.006391,-3.4328073,-3.86,-0.65647902
0.996,0.006454,3.426946,-3.86,0.67493564
0.996,0.006498,3.4229507,-3.86,0.84535034
0.996,0.006509,-3.4218717,-3.86,-0.80027468
0.996,0.00654,3.4190791,-3.86,0.63856172
0.996,0.006546,-3.4185081,-3.86,-0.82939642
0.996,0.006562,-3.4171134,-3.86,-2.13607212
0.996,0.006563,3.4169547,-3.86,0.61305522
0.996,0.006602,-3.4134831,-3.86,-0.6488111
0.996,0.006626,3.4112728,-3.86,0.57072384
0.996,0.006635,3.4105013,-3.86,0.29511278
0.996,0.006636,-3.4104518,-3.86,-0.59940186
0.996,0.006661,3.4081562,-3.86,0.66370842
0.996,0.00667,-3.4073631,-3.86,-1.05271666
0.996,0.006712,-3.4036687,-3.86,-1.2548237
0.996,0.006718,3.4031233,-3.86,0.8966198
0.996,0.006733,3.4018027,-3.87,0.7999572
0.996,0.006739,3.4012796,-3.87,0.4962232
0.996,0.006774,3.398204,-3.87,0.88046918
0.996,0.006812,3.3948712,-3.87,0.51349154
0.996,0.006827,3.393508,-3.87,0.6765422
0.996,0.006831,3.393227,-3.87,0.70180318
0.996,0.006835,3.3928528,-3.87,0.8361686
0.996,0.00685,3.3915808,-3.87,0.6035019
0.996,0.006854,-3.3912116,-3.87,-0.44074462
0.996,0.006903,-3.3869865,-3.87,-0.42071866
0.996,0.006909,-3.3864308,-3.87,-0.72457998
0.996,0.006995,3.3790863,-3.87,1.112848
0.996,0.007001,-3.3785525,-3.87,-0.68490432
0.996,0.007034,3.3757638,-3.87,0.427319
0.996,0.007041,-3.3752354,-3.87,-0.52599526
0.996,0.007077,3.3721442,-3.87,0.63247794
0.996,0.007093,3.3708363,-3.87,0.80698106
0.996,0.007103,3.3700137,-3.87,0.63587952
0.996,0.007163,3.3650276,-3.87,0.76639386
0.996,0.007226,3.3597801,-3.88,0.65717692
0.996,0.007235,-3.35911,-3.88,-0.95045786
0.996,0.007248,3.3579876,-3.88,1.04130606
0.996,0.007283,-3.3551347,-3.88,-0.34808088
0.996,0.007285,-3.3549583,-3.88,-0.76322392
0.996,0.007298,-3.3539358,-3.88,-0.44190722
0.996,0.00731,3.3529817,-3.88,0.5584068
0.996,0.00732,3.3521692,-3.88,0.4869791
0.996,0.007344,-3.3502354,-3.88,-0.42384936
0.996,0.007352,-3.3495668,-3.88,-0.64848292
0.996,0.007404,3.3453913,-3.88,0.66681342
0.996,0.007406,-3.3452375,-3.88,-0.98470974
0.996,0.007406,3.3452194,-3.88,1.0727429
0.996,0.007444,3.3422013,-3.88,0.2663366
0.996,0.007453,3.3414869,-3.88,0.41834988
0.996,0.00751,3.3369865,-3.88,0.35713684
0.996,0.007519,3.3362657,-3.88,1.09563548
0.996,0.00752,3.336143,-3.88,0.66570046
0.996,0.007549,3.3339005,-3.88,0.69744558
